index,salary,location,url
182,47000.0,"Sydney, Australia",https://www.refinery29.com/money-diary-music-journalist-sydney-australia
183,46000.0,Milwaukee,https://www.refinery29.com/money-diary-milawukee-salary
184,44000.0,Boston,https://www.refinery29.com/money-diary-boston-social-media-manager
185,30000.0,NYC,https://www.refinery29.com/money-diary-freelancer-budget-new-york-city
186,44000.0,The Bay Area,https://www.refinery29.com/money-diary-bay-area-teacher-mother
187,1500.0,How,https://www.refinery29.com/money-diary-san-francisco-biotech-budget
188,15.0,"Durham, N.C.",https://www.refinery29.com/money-diary-durham-barista-graduate-assistant-budget
189,46000.0,NYC,https://www.refinery29.com/money-diary-new-york-city-receptionist-budget
190,800.0,Madrid,https://www.refinery29.com/money-diary-madrid-masters-student-budget
191,240000.0,NYC,https://www.refinery29.com/money-diary-attorney-new-york-budget
192,13.0,"Louisville, KY",https://www.refinery29.com/money-diary-louisville-budget
193,36000.0,NYC,https://www.refinery29.com/money-diary-digital-media-editorial-budget
194,25668.0,Paris,https://www.refinery29.com/money-diary-events-coordinator-paris-budget
195,82500.0,NYC,https://www.refinery29.com/money-diary-nyc-accountant-budget
196,40000.0,"Plano, TX",https://www.refinery29.com/money-diary-plano-texas-customer-specialist-budget
197,55000.0,Brooklyn,https://www.refinery29.com/money-diary-brooklyn-researcher-budget
198,73000.0,"Juneau, Alaska",https://www.refinery29.com/money-diary-juneau-alaska-administration-officer-server-budget
199,85000.0,"New York, NY",https://www.refinery29.com/money-diary-new-york-ny-art-collection-manager-budget
200,60000.0,San Francisco,https://www.refinery29.com/money-diary-san-francisco-events-manager-budget
201,52000.0,Los Angeles,https://www.refinery29.com/money-diary-los-angeles-copywriter-budget
202,40000.0,Chicago,https://www.refinery29.com/money-diary-chicago-digital-marketing-manager-budget
203,34000.0,Brooklyn,https://www.refinery29.com/money-diary-brooklyn-production-assistant-budget
204,68000.0,Dallas,https://www.refinery29.com/money-diary-dallas-tx-web-analyst-budget
205,50000.0,NYC,https://www.refinery29.com/money-diary-lower-east-side-content-editor-budget
206,57720.0,Santa Fe,https://www.refinery29.com/money-diary-santa-fe-new-mexico-geophysicist-budget
207,32000.0,New York City,https://www.refinery29.com/money-diary-new-york-ny-writer-salary
208,106000.0,"Philadelphia, PA",https://www.refinery29.com/money-diary-philadelphia-senior-program-manager-salary
209,1250.0,"Los Angeles, CA",https://www.refinery29.com/money-diary-los-angeles-executive-director-salary
210,62000.0,"New York, NY",https://www.refinery29.com/money-diary-new-york-ny-specialist-salary
211,360000.0,Texas,https://www.refinery29.com/money-diary-texas-vitreo-retinal-surgeon-salary
212,129000.0,"Santa Barbara, CA",https://www.refinery29.com/money-diary-santa-barbara-ca-architect-salary
213,30000.0,"Chicago, IL",https://www.refinery29.com/money-diary-chicago-il-rd-food-technician
214,115000.0,"Long Island City, NY",https://www.refinery29.com/money-diary-long-island-city-ny-innovation-strategist-salary
215,21000.0,"Nashville, TN",https://www.refinery29.com/money-diary-nashville-graduate-program-administrative-assistant-salary
216,52500.0,"Oakland, CA",https://www.refinery29.com/money-diary-oakland-ca-project-manager-salary
217,132600.0,New  York City,https://www.refinery29.com/money-diary-new-york-ny-marketing-manager-salary
218,11000.0,"Atlanta, GA",https://www.refinery29.com/money-diary-atlanta-ga-full-time-student-server-salary
219,35000.0,"Boston, MA",https://www.refinery29.com/money-diary-boston-ma-research-assistant-salary
220,35000.0,"Chicago, IL",https://www.refinery29.com/money-diary-chicago-il-public-affairs-specialist-salary
221,100000.0,New York City,https://www.refinery29.com/money-diary-new-york-ny-paralegal-manager-salary
222,190000.0,"Philadelphia, PA",https://www.refinery29.com/money-diary-philadelphia-manager-competitive-marketing-strategy-salary
223,90000.0,"Somerville, MA",https://www.refinery29.com/money-diary-somerville-ma-regulatory-affairs-manager-salary
224,58614.0,"Fayetteville, AR",https://www.refinery29.com/money-diary-fayetteville-ar-analyst-quality-control-coordiantor-salary
225,130000.0,"St. Paul, MN",https://www.refinery29.com/money-diary-st-paul-minnesota-vice-president-student-affairs-salary
226,450.0,"Oakland, CA",https://www.refinery29.com/money-diary-oakland-ca-creative-freelancer-salary
227,77837.0,London,https://www.refinery29.com/money-diary-london-birmingham-hr-advisor-salary
228,55000.0,"Brooklyn, NY",https://www.refinery29.com/money-diary-brooklyn-ny-copywriter-freelancer-salary
229,81000.0,"Dallas, TX",https://www.refinery29.com/money-diary-dallas-tx-marketing-manager-salary
230,60000.0,"Minneapolis, MN",https://www.refinery29.com/money-diary-minneapolis-mn-recruiter-salary
231,63500.0,"Denver, CO",https://www.refinery29.com/money-diary-denver-co-land-use-planner-salary
232,0.0,"San Jose, CA",https://www.refinery29.com/money-diary-san-jose-ca-content-marketing-manager-salary
233,29000.0,"Tampa, FL",https://www.refinery29.com/money-diary-tampa-medical-assistant-salary
234,18.0,"Bucks County, PA",https://www.refinery29.com/money-diary-bucks-county-pennsylvania-waitress-front-of-house-manager-salary
235,67000.0,New York City,https://www.refinery29.com/money-diary-new-york-ny-service-coordinator-salary
236,9.0,"Chattanooga, TN",https://www.refinery29.com/money-diary-chattanooga-tn-student-after-school-teacher-salary
237,24.0,"Seattle, WA",https://www.refinery29.com/money-diary-seattle-wa-project-management-coordinator-salary
238,48659.0,"Columbus, OH",https://www.refinery29.com/money-diary-columbus-oh-academic-program-manager-salary
239,97000.0,"Palo Alto, CA",https://www.refinery29.com/money-diary-palo-alto-ca-executive-personal-assistant-salary
240,81600.0,"Arlington, VA",https://www.refinery29.com/money-diary-arlington-va-policy-analyst-salary
241,87193.0,Southern Connecticut,https://www.refinery29.com/money-diary-southern-connecticut-registered-nurse-salary
242,75000.0,"Brooklyn, NY",https://www.refinery29.com/money-diary-brooklyn-ny-artists-agent-salary
243,52700.0,"Columbus, OH",https://www.refinery29.com/money-diary-columbus-oh-environmental-scientist-salary
244,50000.0,"Denver, CO",https://www.refinery29.com/money-diary-denver-co-policy-aide-salary
245,60000.0,"Bergen County, NJ",https://www.refinery29.com/money-diary-bergen-county-new-jersey-web-writer-salary
246,94000.0,New York City,https://www.refinery29.com/money-diary-new-york-city-registered-nurse-salary
247,43000.0,"Portland, OR",https://www.refinery29.com/money-diary-portland-or-office-manager-salary
248,64760.0,"Englewood, CO",https://www.refinery29.com/money-diary-englewood-colorado-engineer-salary
249,19000.0,"Tallahassee, FL",https://www.refinery29.com/money-diary-tallahassee-florida-medical-student-salary
250,122000.0,"Mountain View, CA",https://www.refinery29.com/money-diary-mountain-view-ca-engineer-salary
251,180000.0,"Boston, MA",https://www.refinery29.com/money-diary-boston-ma-safety-professional-joint-salary
252,29500.0,"Saint Louis, MO",https://www.refinery29.com/money-diary-saint-louis-mo-research-technician-salary
253,45000.0,New York City,https://www.refinery29.com/money-diary-new-york-ny-leasing-administrator-salary
254,65000.0,"Perth, Australia",https://www.refinery29.com/money-diary-perth-australia-accountant-salary
255,65400.0,"Seattle, WA",https://www.refinery29.com/money-diary-seattle-wa-it-professional-salary
256,54500.0,"Kenosha, WI",https://www.refinery29.com/money-diary-kenosha-wi-retirement-plans-analyst-salary
257,44000.0,"Brooklyn, NY",https://www.refinery29.com/money-diary-brooklyn-ny-marketing-and-communications-associate-salary
258,56100.0,"Boston, MA",https://www.refinery29.com/money-diary-boston-ma-digital-strategist-salary
259,68888.0,"Minneapolis, MN",https://www.refinery29.com/money-diary-minneapolis-mn-human-resources-business-partner-salary
260,38500.0,"Spartanburg, SC",https://www.refinery29.com/money-diary-spartanburg-sc-case-manager-salary
261,180000.0,"Chicago, IL",https://www.refinery29.com/money-diary-chicago-il-associate-salary
262,35000.0,New Jersey,https://www.refinery29.com/money-diary-new-jersey-coordinator-salary
263,41500.0,"Scottsdale, AZ",https://www.refinery29.com/money-diary-scottsdale-az-program-coordinator-salary
264,59000.0,"Queens, NY",https://www.refinery29.com/money-diary-astoria-new-york-research-analyst-salary
265,50000.0,"Portland, OR",https://www.refinery29.com/money-diary-portland-or-human-resources-manager-salary
266,42000.0,"Tallahassee, FL",https://www.refinery29.com/money-diary-tallahassee-fl-policy-analyst-salary
267,39728.0,"Wilmington, DE",https://www.refinery29.com/money-diary-wilmington-de-web-content-coordinator-salary
268,17700.0,"Brooklyn, NY",https://www.refinery29.com/money-diary-brooklyn-ny-americorps-member-salary
